Top Designator,Comment,Footprint,JLCPCB Part #
"BOOT,RST",SKRPACE010,SMD,C139797
C1,0.1u,1206,C24497
"C2,C15",10u,0402,C15525
"C4,C3,C5,C6,C7,C8,C13,C16",0.1u,0402,C1525
"C9,C12,C14,C19,C20",1u,0402,C52923
"C11,C17",10n,0402,C15195
"CHG,D4",LED_CHIP_GREEN-1608,0603,C965807
"D1,D2,D3",DIODE,SMA(DO-214AC),C154794
J1,CQ-USB-C16PSMT01,SMD,C2894897
J4,PJ-320D-A,SMD,C431535
P1,ST-TF-003A,SMD,C393941
R1,5.1k,0603,C23186
"R2,R6,R9,R11,R17",1k,0603,C21190
R3,100,0603,C22775
"R4,R7,R8,R10,R12,R13,R14,R15,R16,R18",10k,0603,C25804
R5,3.3k,0603,C22978
"R19,R20",100k,0603,C25803
"S1,S2,S3,S4,S5",TL3305BF160QG,SMD,C2685973
STB,LED_CHIP_RED-1608,0603,C2286
SW1,SK12D07VG4,插件,C393937
U1,AP2112K-3.3TRG1,SOT-25-5,C51118
U2,TP4056,ESOP-8,C725790
U3,DW01A,SOT-23-6L,C351410
U4,8205A,SOT-23-6,C2762931
U5,STM32F103RCT6,LQFP-64(10x10),C8323
U6,TPA6132A2RTER,WQFN-16-EP(3x3),C69901
U7,CH340E_MSOP10,MSOP-10,C99652
U$1,HS96L03W2C03,-,C5248080
